Model,Risk_Type,TP,FN
sft_Qwen3Guard-Gen-4B,Malicious Code Execution,20,15
sft_Qwen3Guard-Gen-4B,Privilege Escalation,29,0
sft_Qwen3Guard-Gen-4B,Delayed or Timed Trigger Attacks,7,8
sft_Qwen3Guard-Gen-4B,Sensitive Data Exfiltration,20,3
sft_Qwen3Guard-Gen-4B,Log Explosion Attacks,21,1
sft_Qwen3Guard-Gen-4B,Persistence via Backdoor Implantation,12,16
grpo_Qwen3Guard-Gen-4B,Delayed or Timed Trigger Attacks,21,4
grpo_Qwen3Guard-Gen-4B,Log Explosion Attacks,22,1
grpo_Qwen3Guard-Gen-4B,Denial-of-Service,20,4
grpo_Qwen3Guard-Gen-4B,Malicious Code Execution,23,5
grpo_Qwen3Guard-Gen-4B,Cache or Local State Pollution,20,7
grpo_Qwen3Guard-Gen-4B,Sensitive Data Exfiltration,21,5
grpo_Qwen3Guard-Gen-4B,Privilege Escalation,32,2
grpo_Qwen3Guard-Gen-4B,Covert Channel Attack,16,9
grpo_Qwen3Guard-Gen-4B,Persistence via Backdoor Implantation,19,8
sft_Llama-Guard-3-8B,Covert Channel Attack,29,4
sft_Llama-Guard-3-8B,Cache or Local State Pollution,26,0
sft_Llama-Guard-3-8B,Persistence via Backdoor Implantation,16,15
sft_Llama-Guard-3-8B,Delayed or Timed Trigger Attacks,27,2
sft_Llama-Guard-3-8B,Malicious Code Execution,18,14
sft_Llama-Guard-3-8B,Log Explosion Attacks,33,0
sft_Llama-Guard-3-8B,Sensitive Data Exfiltration,19,2
sft_Llama-Guard-3-8B,Denial-of-Service,16,1
sft_Llama-Guard-3-8B,Privilege Escalation,17,0
grpo_Llama-Guard-3-8B,Persistence via Backdoor Implantation,25,9
grpo_Llama-Guard-3-8B,Denial-of-Service,17,1
grpo_Llama-Guard-3-8B,Log Explosion Attacks,12,1
grpo_Llama-Guard-3-8B,Malicious Code Execution,16,3
grpo_Llama-Guard-3-8B,Sensitive Data Exfiltration,25,3
grpo_Llama-Guard-3-8B,Cache or Local State Pollution,23,0
grpo_Llama-Guard-3-8B,Delayed or Timed Trigger Attacks,16,10
grpo_Llama-Guard-3-8B,Privilege Escalation,22,1
grpo_Llama-Guard-3-8B,Covert Channel Attack,18,4
grpo_Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,30,3
grpo_Llama3.1-8B-Instruct,Cache or Local State Pollution,25,4
grpo_Llama3.1-8B-Instruct,Sensitive Data Exfiltration,22,4
grpo_Llama3.1-8B-Instruct,Malicious Code Execution,20,1
grpo_Llama3.1-8B-Instruct,Privilege Escalation,29,2
grpo_Llama3.1-8B-Instruct,Covert Channel Attack,21,7
grpo_Llama3.1-8B-Instruct,Log Explosion Attacks,27,0
grpo_Llama3.1-8B-Instruct,Denial-of-Service,20,0
grpo_Llama3.1-8B-Instruct,Delayed or Timed Trigger Attacks,25,3
sft_Llama3.1-8B-Instruct,Covert Channel Attack,24,8
sft_Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,14,16
sft_Llama3.1-8B-Instruct,Malicious Code Execution,22,4
sft_Llama3.1-8B-Instruct,Privilege Escalation,21,7
sft_Llama3.1-8B-Instruct,Sensitive Data Exfiltration,22,0
sft_Llama3.1-8B-Instruct,Denial-of-Service,18,3
sft_Llama3.1-8B-Instruct,Delayed or Timed Trigger Attacks,21,6
sft_Llama3.1-8B-Instruct,Cache or Local State Pollution,14,0
sft_Llama3.1-8B-Instruct,Log Explosion Attacks,20,0
sft_Qwen3-4B-Instruct,Denial-of-Service,28,1
sft_Qwen3-4B-Instruct,Malicious Code Execution,13,11
sft_Qwen3-4B-Instruct,Covert Channel Attack,23,3
sft_Qwen3-4B-Instruct,Log Explosion Attacks,14,1
sft_Qwen3-4B-Instruct,Privilege Escalation,33,2
sft_Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,26,4
sft_Qwen3-4B-Instruct,Cache or Local State Pollution,24,2
sft_Qwen3-4B-Instruct,Sensitive Data Exfiltration,18,1
sft_Qwen3-4B-Instruct,Persistence via Backdoor Implantation,23,8
grpo_Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,13,14
grpo_Qwen3-4B-Instruct,Privilege Escalation,26,2
grpo_Qwen3-4B-Instruct,Malicious Code Execution,18,13
grpo_Qwen3-4B-Instruct,Covert Channel Attack,18,21
grpo_Qwen3-4B-Instruct,Log Explosion Attacks,23,3
grpo_Qwen3-4B-Instruct,Denial-of-Service,19,5
grpo_Qwen3-4B-Instruct,Persistence via Backdoor Implantation,18,9
grpo_Qwen3-4B-Instruct,Sensitive Data Exfiltration,11,15
grpo_Qwen3-4B-Instruct,Cache or Local State Pollution,19,10
