Model,Risk_Type,TP,FP,FN
sft_Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,26,50,4
sft_Qwen3-4B-Instruct,Log Explosion Attacks,14,20,1
grpo_Qwen3-4B-Instruct,Privilege Escalation,24,3,6
grpo_Qwen3-4B-Instruct,Persistence via Backdoor Implantation,29,22,2
grpo_Qwen3-4B-Instruct,Sensitive Data Exfiltration,22,19,8
grpo_Qwen3-4B-Instruct,Log Explosion Attacks,25,9,1
grpo_Qwen3-4B-Instruct,Cache or Local State Pollution,19,6,8
grpo_Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,19,34,6
grpo_Qwen3-4B-Instruct,Malicious Code Execution,15,11,4
grpo_Qwen3-4B-Instruct,Denial-of-Service,30,5,2
grpo_Qwen3-4B-Instruct,Covert Channel Attack,19,12,5
grpo_Llama3.1-8B-Instruct,Cache or Local State Pollution,16,6,9
grpo_Llama3.1-8B-Instruct,Log Explosion Attacks,27,9,1
grpo_Llama3.1-8B-Instruct,Sensitive Data Exfiltration,21,19,4
grpo_Llama3.1-8B-Instruct,Privilege Escalation,36,4,3
grpo_Llama3.1-8B-Instruct,Malicious Code Execution,19,9,4
grpo_Llama3.1-8B-Instruct,Delayed or Timed Trigger Attacks,17,18,4
grpo_Llama3.1-8B-Instruct,Covert Channel Attack,19,20,2
grpo_Llama3.1-8B-Instruct,Denial-of-Service,24,3,3
grpo_Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,25,6,5
grpo_DeepSeek-R1-0528-Qwen3-8B,Malicious Code Execution,18,12,7
grpo_DeepSeek-R1-0528-Qwen3-8B,Persistence via Backdoor Implantation,17,27,9
grpo_DeepSeek-R1-0528-Qwen3-8B,Denial-of-Service,31,3,3
grpo_DeepSeek-R1-0528-Qwen3-8B,Privilege Escalation,26,11,4
grpo_DeepSeek-R1-0528-Qwen3-8B,Log Explosion Attacks,25,11,3
grpo_DeepSeek-R1-0528-Qwen3-8B,Delayed or Timed Trigger Attacks,10,29,7
grpo_DeepSeek-R1-0528-Qwen3-8B,Covert Channel Attack,21,23,6
grpo_DeepSeek-R1-0528-Qwen3-8B,Sensitive Data Exfiltration,16,32,1
grpo_DeepSeek-R1-0528-Qwen3-8B,Cache or Local State Pollution,22,24,4
grpo_Qwen3Guard-Gen-4B,Denial-of-Service,16,12,4
grpo_Qwen3Guard-Gen-4B,Persistence via Backdoor Implantation,17,7,8
grpo_Qwen3Guard-Gen-4B,Covert Channel Attack,18,18,11
grpo_Qwen3Guard-Gen-4B,Sensitive Data Exfiltration,25,5,7
grpo_Qwen3Guard-Gen-4B,Malicious Code Execution,23,6,2
grpo_Qwen3Guard-Gen-4B,Privilege Escalation,21,11,2
grpo_Qwen3Guard-Gen-4B,Cache or Local State Pollution,24,4,6
grpo_Qwen3Guard-Gen-4B,Log Explosion Attacks,23,9,1
grpo_Qwen3Guard-Gen-4B,Delayed or Timed Trigger Attacks,24,20,6
grpo_Llama-Guard-3-8B,Sensitive Data Exfiltration,17,7,7
grpo_Llama-Guard-3-8B,Persistence via Backdoor Implantation,18,9,5
grpo_Llama-Guard-3-8B,Privilege Escalation,21,2,5
grpo_Llama-Guard-3-8B,Covert Channel Attack,17,15,4
grpo_Llama-Guard-3-8B,Denial-of-Service,30,2,2
grpo_Llama-Guard-3-8B,Log Explosion Attacks,17,5,0
grpo_Llama-Guard-3-8B,Cache or Local State Pollution,25,3,3
grpo_Llama-Guard-3-8B,Delayed or Timed Trigger Attacks,25,7,6
grpo_Llama-Guard-3-8B,Malicious Code Execution,22,2,7
