Model,Risk_Type,TP,FP,FN
grpo_DeepSeek-R1-0528-Qwen3-8B,Covert Channel Attack,8,8,16
grpo_DeepSeek-R1-0528-Qwen3-8B,Persistence via Backdoor Implantation,17,24,14
grpo_DeepSeek-R1-0528-Qwen3-8B,Delayed or Timed Trigger Attacks,12,31,9
grpo_DeepSeek-R1-0528-Qwen3-8B,Privilege Escalation,15,4,17
grpo_DeepSeek-R1-0528-Qwen3-8B,Denial-of-Service,14,5,14
grpo_DeepSeek-R1-0528-Qwen3-8B,Cache or Local State Pollution,8,19,19
grpo_DeepSeek-R1-0528-Qwen3-8B,Sensitive Data Exfiltration,14,19,17
grpo_DeepSeek-R1-0528-Qwen3-8B,Malicious Code Execution,11,13,12
grpo_DeepSeek-R1-0528-Qwen3-8B,Log Explosion Attacks,13,6,8
grpo_Llama-Guard-3-8B,Log Explosion Attacks,8,15,19
grpo_Llama-Guard-3-8B,Covert Channel Attack,12,4,18
grpo_Llama-Guard-3-8B,Delayed or Timed Trigger Attacks,20,28,10
grpo_Llama-Guard-3-8B,Sensitive Data Exfiltration,31,14,2
grpo_Llama-Guard-3-8B,Privilege Escalation,13,13,26
grpo_Llama-Guard-3-8B,Malicious Code Execution,4,0,25
grpo_Llama-Guard-3-8B,Persistence via Backdoor Implantation,14,31,22
grpo_Llama-Guard-3-8B,Cache or Local State Pollution,17,15,18
grpo_Llama-Guard-3-8B,Denial-of-Service,16,4,16
grpo_Llama3.1-8B-Instruct,Malicious Code Execution,16,4,9
grpo_Llama3.1-8B-Instruct,Denial-of-Service,15,0,8
grpo_Llama3.1-8B-Instruct,Sensitive Data Exfiltration,22,38,0
grpo_Llama3.1-8B-Instruct,Privilege Escalation,14,9,3
grpo_Llama3.1-8B-Instruct,Covert Channel Attack,16,8,13
grpo_Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,14,11,5
grpo_Llama3.1-8B-Instruct,Cache or Local State Pollution,20,9,6
grpo_Llama3.1-8B-Instruct,Delayed or Timed Trigger Attacks,29,12,11
grpo_Llama3.1-8B-Instruct,Log Explosion Attacks,23,2,6
grpo_Qwen3-4B-Instruct,Privilege Escalation,25,13,5
grpo_Qwen3-4B-Instruct,Covert Channel Attack,19,18,9
grpo_Qwen3-4B-Instruct,Denial-of-Service,22,5,5
grpo_Qwen3-4B-Instruct,Persistence via Backdoor Implantation,23,8,6
grpo_Qwen3-4B-Instruct,Log Explosion Attacks,35,17,4
grpo_Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,13,44,12
grpo_Qwen3-4B-Instruct,Cache or Local State Pollution,21,10,1
grpo_Qwen3-4B-Instruct,Malicious Code Execution,23,40,1
grpo_Qwen3-4B-Instruct,Sensitive Data Exfiltration,30,36,0
grpo_Qwen3Guard-Gen-4B,Privilege Escalation,20,14,8
grpo_Qwen3Guard-Gen-4B,Denial-of-Service,26,5,6
grpo_Qwen3Guard-Gen-4B,Malicious Code Execution,15,13,9
grpo_Qwen3Guard-Gen-4B,Covert Channel Attack,19,15,15
grpo_Qwen3Guard-Gen-4B,Log Explosion Attacks,22,9,5
grpo_Qwen3Guard-Gen-4B,Cache or Local State Pollution,20,13,4
grpo_Qwen3Guard-Gen-4B,Delayed or Timed Trigger Attacks,11,35,12
grpo_Qwen3Guard-Gen-4B,Sensitive Data Exfiltration,27,20,2
grpo_Qwen3Guard-Gen-4B,Persistence via Backdoor Implantation,15,3,9
sft_DeepSeek-R1-0528-Qwen3-8B,Privilege Escalation,12,6,10
sft_DeepSeek-R1-0528-Qwen3-8B,Persistence via Backdoor Implantation,7,16,22
sft_DeepSeek-R1-0528-Qwen3-8B,Malicious Code Execution,12,16,13
sft_DeepSeek-R1-0528-Qwen3-8B,Denial-of-Service,16,9,17
sft_DeepSeek-R1-0528-Qwen3-8B,Delayed or Timed Trigger Attacks,11,29,12
sft_DeepSeek-R1-0528-Qwen3-8B,Log Explosion Attacks,12,16,10
sft_DeepSeek-R1-0528-Qwen3-8B,Cache or Local State Pollution,12,26,10
sft_DeepSeek-R1-0528-Qwen3-8B,Sensitive Data Exfiltration,19,19,4
sft_DeepSeek-R1-0528-Qwen3-8B,Covert Channel Attack,6,5,17
sft_Llama-Guard-3-8B,Denial-of-Service,22,23,3
sft_Llama-Guard-3-8B,Persistence via Backdoor Implantation,13,86,12
sft_Llama-Guard-3-8B,Sensitive Data Exfiltration,25,21,7
sft_Llama-Guard-3-8B,Malicious Code Execution,13,10,9
sft_Llama-Guard-3-8B,Log Explosion Attacks,14,6,12
sft_Llama-Guard-3-8B,Covert Channel Attack,8,7,17
sft_Llama-Guard-3-8B,Delayed or Timed Trigger Attacks,4,8,14
sft_Llama-Guard-3-8B,Cache or Local State Pollution,16,20,5
sft_Llama-Guard-3-8B,Privilege Escalation,25,28,9
sft_Llama3.1-8B-Instruct,Cache or Local State Pollution,25,50,0
sft_Llama3.1-8B-Instruct,Sensitive Data Exfiltration,19,35,3
sft_Llama3.1-8B-Instruct,Covert Channel Attack,9,24,18
sft_Llama3.1-8B-Instruct,Malicious Code Execution,18,12,13
sft_Llama3.1-8B-Instruct,Denial-of-Service,23,17,5
sft_Llama3.1-8B-Instruct,Log Explosion Attacks,19,14,10
sft_Llama3.1-8B-Instruct,Delayed or Timed Trigger Attacks,14,38,13
sft_Llama3.1-8B-Instruct,Privilege Escalation,16,20,3
sft_Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,26,27,5
sft_Qwen3-4B-Instruct,Covert Channel Attack,10,20,10
sft_Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,17,66,12
sft_Qwen3-4B-Instruct,Denial-of-Service,18,20,4
sft_Qwen3-4B-Instruct,Cache or Local State Pollution,25,27,4
sft_Qwen3-4B-Instruct,Log Explosion Attacks,25,33,3
sft_Qwen3-4B-Instruct,Malicious Code Execution,20,27,1
sft_Qwen3-4B-Instruct,Persistence via Backdoor Implantation,16,7,7
sft_Qwen3-4B-Instruct,Privilege Escalation,19,12,6
sft_Qwen3-4B-Instruct,Sensitive Data Exfiltration,25,41,0
sft_Qwen3Guard-Gen-4B,Covert Channel Attack,5,13,20
sft_Qwen3Guard-Gen-4B,Sensitive Data Exfiltration,25,55,6
sft_Qwen3Guard-Gen-4B,Malicious Code Execution,20,20,4
sft_Qwen3Guard-Gen-4B,Persistence via Backdoor Implantation,15,10,6
sft_Qwen3Guard-Gen-4B,Denial-of-Service,15,12,9
sft_Qwen3Guard-Gen-4B,Log Explosion Attacks,26,7,3
sft_Qwen3Guard-Gen-4B,Cache or Local State Pollution,19,42,11
sft_Qwen3Guard-Gen-4B,Delayed or Timed Trigger Attacks,1,34,20
sft_Qwen3Guard-Gen-4B,Privilege Escalation,28,13,5
